# wolfy english lexicon v1
# generated	2026-08-22
# source	Princeton WordNet 3.0 — леммы и таблицы исключений (*.exc)
# source	Brown Corpus (NLTK, universal tagset) — частотность и служебные части речи
# note	уровень CEFR выведен из частотности, официальной разметкой не является
# words	77675
# irregular	4377
# top	0
W	aberration	n	3.4	C1
W	abet	v	0.0	C2
W	abetalipoproteinemia	n	0.0	C2
W	abetment	n	0.0	C2
W	abettal	n	0.0	C2
W	abetter	n	0.0	C2
W	abettor	n	0.0	C2
W	abeyance	n	3.4	C1
W	abeyant	a	0.0	C2
W	abfarad	n	0.0	C2
W	abhenry	n	0.0	C2
W	abhor	v	0.0	C2
W	abhorrence	n	0.0	C2
W	abhorrent	a	2.9	C2
W	abhorrer	n	0.0	C2
W	abidance	n	0.0	C2
W	abide	v	3.8	B2
W	abiding	a	3.6	B2
W	abidjan	n	0.0	C2
W	abience	n	0.0	C2
W	abient	a	0.0	C2
W	abies	n	0.0	C2
W	abila	n	0.0	C2
W	abilene	n	3.2	C1
W	ability	n	4.8	A2
W	abiogenesis	n	0.0	C2
W	abiogenetic	a	0.0	C2
W	abiogenist	n	0.0	C2
W	abiotrophy	n	0.0	C2
W	abject	a	3.4	C1
W	abjection	n	2.9	C2
W	abjectly	r	2.9	C2
W	abjuration	n	0.0	C2
W	abjure	v	0.0	C2
W	abjurer	n	0.0	C2
W	abkhas	n	0.0	C2
W	abkhasian	n	0.0	C2
W	abkhaz	an	0.0	C2
W	abkhazia	n	0.0	C2
W	abkhazian	an	0.0	C2
W	ablactate	v	0.0	C2
W	ablactation	n	0.0	C2
W	ablate	v	0.0	C2
W	ablated	a	2.9	C2
W	ablation	n	3.2	C1
W	ablative	an	0.0	C2
W	ablaut	n	0.0	C2
W	ablaze	a	3.4	C1
W	able	a	5.3	A2
W	ableism	n	0.0	C2
W	ablepharia	n	0.0	C2
W	ablism	n	0.0	C2
W	abloom	a	0.0	C2
W	abls	n	0.0	C2
W	ablution	n	0.0	C2
W	ablutionary	a	0.0	C2
W	ably	r	3.2	C1
W	abm	n	0.0	C2
W	abnaki	an	0.0	C2
W	abnegate	v	0.0	C2
W	abnegation	n	0.0	C2
W	abnegator	n	0.0	C2
W	abnormal	a	3.4	C1
W	abnormalcy	n	0.0	C2
W	abnormality	n	0.0	C2
W	abnormally	r	2.9	C2
W	abo	n	3.6	B2
W	aboard	r	4.3	B1
W	abocclusion	n	0.0	C2
W	abode	n	3.5	C1
W	abohm	n	0.0	C2
W	abolish	v	3.8	B2
W	abolishable	a	0.0	C2
W	abolishment	n	0.0	C2
W	abolition	n	3.9	B2
W	abolitionary	a	0.0	C2
W	abolitionism	n	0.0	C2
W	abolitionist	n	2.9	C2
W	abomasal	a	0.0	C2
W	abomasum	n	0.0	C2
W	abominable	a	0.0	C2
W	abominably	r	0.0	C2
W	abominate	v	0.0	C2
W	abomination	n	0.0	C2
W	abominator	n	0.0	C2
W	abor	n	0.0	C2
W	aborad	r	0.0	C2
W	aboral	a	0.0	C2
W	aboriginal	an	2.9	C2
W	aborigine	n	3.8	B2
W	abort	nv	0.0	C2
W	aborticide	n	0.0	C2
W	abortifacient	an	0.0	C2
W	abortion	n	3.7	B2
W	abortionist	n	0.0	C2
W	abortive	a	3.4	C1
W	abortively	r	0.0	C2
W	abortus	n	0.0	C2
W	aboulia	n	0.0	C2
W	aboulic	a	0.0	C2
W	abound	v	2.9	C2
W	abounding	a	2.9	C2
W	about	air	6.2	A1
W	above	ainr	5.4	A2
W	aboveboard	ar	0.0	C2
W	aboveground	a	3.2	C1
W	abracadabra	n	0.0	C2
W	abrachia	n	0.0	C2
W	abradant	n	0.0	C2
W	abrade	v	0.0	C2
W	abrader	n	0.0	C2
W	abraham	n	3.7	B2
W	abramis	n	0.0	C2
W	abranchial	a	0.0	C2
W	abranchiate	a	0.0	C2
W	abranchious	a	0.0	C2
W	abrase	v	0.0	C2
W	abrasion	n	0.0	C2
W	abrasive	an	0.0	C2
W	abrasiveness	n	0.0	C2
W	abreact	v	0.0	C2
W	abreaction	n	3.2	C1
W	abreast	ar	3.6	B2
W	abridge	v	0.0	C2
W	abridged	a	2.9	C2
W	abridgement	n	0.0	C2
W	abridger	n	0.0	C2
W	abridgment	n	2.9	C2
W	abroach	a	0.0	C2
W	abroad	ar	4.6	B1
W	abrocoma	n	0.0	C2
W	abrocome	n	0.0	C2
W	abrogate	v	0.0	C2
W	abrogation	n	0.0	C2
W	abrogator	n	0.0	C2
W	abronia	n	0.0	C2
W	abrupt	a	4.2	B1
W	abruption	n	0.0	C2
W	abruptly	r	4.2	B1
W	abruptness	n	2.9	C2
W	abruzzi	n	0.0	C2
W	abs	n	0.0	C2
W	abscess	n	0.0	C2
W	abscessed	a	0.0	C2
W	abscise	v	0.0	C2
W	abscissa	n	2.9	C2
W	abscission	n	0.0	C2
W	abscond	v	0.0	C2
W	absconder	n	0.0	C2
W	abscondment	n	0.0	C2
W	abseil	nv	0.0	C2
W	abseiler	n	0.0	C2
W	absence	n	4.7	B1
W	absent	av	4.4	B1
W	absentee	n	2.9	C2
W	absenteeism	n	2.9	C2
W	absently	r	3.7	B2
W	absentminded	a	0.0	C2
W	absentmindedly	r	2.9	C2
W	absentmindedness	n	0.0	C2
W	absinth	n	0.0	C2
W	absinthe	n	2.9	C2
W	absolute	an	4.4	B1
W	absolutely	r	4.4	B1
W	absoluteness	n	3.2	C1
W	absolution	n	3.2	C1
W	absolutism	n	0.0	C2
W	absolutist	an	0.0	C2
W	absolutistic	a	0.0	C2
W	absolve	v	0.0	C2
W	absolved	a	0.0	C2
W	absolver	n	0.0	C2
W	absolvitory	a	0.0	C2
W	absorb	v	4.0	B2
W	absorbable	a	0.0	C2
W	absorbance	n	0.0	C2
W	absorbate	n	0.0	C2
W	absorbed	a	4.3	B1
W	absorbefacient	a	0.0	C2
W	absorbency	n	2.9	C2
W	absorbent	an	0.0	C2
W	absorber	n	2.9	C2
W	absorbing	a	3.4	C1
W	absorptance	n	0.0	C2
W	absorption	n	4.0	B2
W	absorptive	a	2.9	C2
W	absorptivity	n	0.0	C2
W	absquatulate	v	0.0	C2
W	abstain	v	2.9	C2
W	abstainer	n	0.0	C2
W	abstemious	a	0.0	C2
W	abstemiously	r	0.0	C2
W	abstemiousness	n	0.0	C2
W	abstention	n	3.6	B2
W	abstentious	a	0.0	C2
W	abstinence	n	2.9	C2
W	abstinent	an	0.0	C2
W	abstract	anv	4.5	B1
W	abstracted	a	3.4	C1
W	abstractedly	r	0.0	C2
W	abstractedness	n	2.9	C2
W	abstracter	n	0.0	C2
W	abstraction	n	4.1	B2
W	abstractionism	n	2.9	C2
W	abstractionist	an	0.0	C2
W	abstractive	a	2.9	C2
W	abstractly	r	2.9	C2
W	abstractness	n	0.0	C2
W	abstractor	n	0.0	C2
W	abstruse	a	0.0	C2
W	abstrusely	r	0.0	C2
W	abstruseness	n	0.0	C2
W	abstrusity	n	0.0	C2
W	absurd	an	4.2	B1
W	absurdity	n	3.8	B2
W	absurdly	r	2.9	C2
W	absurdness	n	0.0	C2
W	abudefduf	n	0.0	C2
W	abuja	n	0.0	C2
W	abukir	n	0.0	C2
W	abulia	n	0.0	C2
W	abulic	a	0.0	C2
W	abundance	n	4.0	B2
W	abundant	a	3.9	B2
W	abundantly	r	3.2	C1
W	abuse	nv	4.2	B1
W	abused	a	3.6	B2
W	abuser	n	0.0	C2
W	abusive	a	2.9	C2
W	abusively	r	0.0	C2
W	abut	v	0.0	C2
W	abutilon	n	0.0	C2
W	abutment	n	0.0	C2
W	abutter	n	0.0	C2
W	abuzz	a	0.0	C2
W	abvolt	n	0.0	C2
W	abwatt	n	0.0	C2
W	aby	v	0.0	C2
W	abydos	n	0.0	C2
W	abye	v	0.0	C2
W	abyla	n	0.0	C2
W	abysm	n	0.0	C2
W	abysmal	a	3.2	C1
W	abysmally	r	0.0	C2
W	abyss	n	3.5	C1
W	abyssal	a	0.0	C2
W	abyssinia	n	0.0	C2
W	abyssinian	n	0.0	C2
W	ac	n	0.0	C2
W	acacia	n	3.4	C1
W	academe	n	0.0	C2
W	academia	n	0.0	C2
W	academic	an	4.7	B1
W	academically	r	3.6	B2
W	academician	n	0.0	C2
W	academicianship	n	2.9	C2
W	academicism	n	0.0	C2
W	academism	n	0.0	C2
W	academy	n	4.3	B1
W	acadia	n	2.9	C2
W	acadian	n	0.0	C2
W	acalypha	n	0.0	C2
W	acantha	n	0.0	C2
W	acanthaceae	n	0.0	C2
W	acanthion	n	0.0	C2
W	acanthisitta	n	0.0	C2
W	acanthisittidae	n	0.0	C2
W	acanthocephala	n	0.0	C2
W	acanthocephalan	n	0.0	C2
W	acanthocereus	n	0.0	C2
W	acanthocybium	n	0.0	C2
W	acanthocyte	n	0.0	C2
W	acanthocytosis	n	0.0	C2
W	acanthoid	a	0.0	C2
W	acantholysis	n	0.0	C2
W	acanthoma	n	0.0	C2
W	acanthophis	n	0.0	C2
W	acanthopterygian	n	0.0	C2
W	acanthopterygii	n	0.0	C2
W	acanthoscelides	n	0.0	C2
W	acanthosis	n	0.0	C2
W	acanthotic	a	0.0	C2
W	acanthous	a	0.0	C2
W	acanthuridae	n	0.0	C2
W	acanthurus	n	0.0	C2
W	acanthus	n	0.0	C2
W	acapnia	n	0.0	C2
W	acapnial	a	0.0	C2
W	acapnic	a	0.0	C2
W	acapnotic	a	0.0	C2
W	acapulco	n	2.9	C2
W	acaracide	n	0.0	C2
W	acardia	n	0.0	C2
W	acariasis	n	0.0	C2
W	acaricide	n	0.0	C2
W	acarid	n	0.0	C2
W	acaridae	n	0.0	C2
W	acaridiasis	n	0.0	C2
W	acarina	n	0.0	C2
W	acarine	n	0.0	C2
W	acariosis	n	0.0	C2
W	acarophobia	n	0.0	C2
W	acarpellous	a	0.0	C2
W	acarpelous	a	0.0	C2
W	acarpous	a	0.0	C2
W	acarus	n	0.0	C2
W	acaryote	n	0.0	C2
W	acatalectic	an	0.0	C2
W	acataphasia	n	0.0	C2
W	acathexia	n	0.0	C2
W	acathexis	n	0.0	C2
W	acaudal	a	0.0	C2
W	acaudate	a	0.0	C2
W	acaulescent	a	0.0	C2
W	acc	n	0.0	C2
W	accede	v	2.9	C2
W	accelerando	anr	0.0	C2
W	accelerate	v	3.6	B2
W	accelerated	a	4.0	B2
W	acceleration	n	4.2	B1
W	accelerative	a	0.0	C2
W	accelerator	n	3.6	B2
W	acceleratory	a	0.0	C2
W	accelerometer	n	4.2	B1
W	accent	nv	3.9	B2
W	accented	a	3.4	C1
W	accenting	n	2.9	C2
W	accentor	n	0.0	C2
W	accentual	a	2.9	C2
W	accentuate	v	2.9	C2
W	accentuation	n	0.0	C2
W	accept	v	4.8	A2
W	acceptability	n	3.2	C1
W	acceptable	a	4.3	B1
W	acceptableness	n	0.0	C2
W	acceptably	r	0.0	C2
W	acceptance	n	4.6	B1
W	acceptant	a	0.0	C2
W	acceptation	n	0.0	C2
W	accepted	a	4.9	A2
W	accepting	a	4.3	B1
W	acceptive	a	0.0	C2
W	acceptor	n	0.0	C2
W	access	nv	4.3	B1
W	accessary	an	0.0	C2
W	accessibility	n	3.2	C1
W	accessible	a	3.6	B2
W	accession	nv	0.0	C2
W	accessional	a	0.0	C2
W	accessorial	a	0.0	C2
W	accessory	an	2.9	C2
W	accho	n	0.0	C2
W	acciaccatura	n	0.0	C2
W	accidence	n	0.0	C2
W	accident	n	4.5	B1
W	accidental	an	3.9	B2
W	accidentally	r	3.7	B2
W	accipiter	n	0.0	C2
W	accipitridae	n	0.0	C2
W	accipitriformes	n	0.0	C2
W	accipitrine	a	0.0	C2
W	acclaim	nv	3.5	C1
W	acclamation	n	2.9	C2
W	acclimate	v	0.0	C2
W	acclimation	n	0.0	C2
W	acclimatisation	n	0.0	C2
W	acclimatise	v	0.0	C2
W	acclimatization	n	0.0	C2
W	acclimatize	v	0.0	C2
W	acclivitous	a	0.0	C2
W	acclivity	n	0.0	C2
W	accolade	n	3.2	C1
W	accommodate	v	4.1	B2
W	accommodating	a	3.2	C1
W	accommodatingly	r	0.0	C2
W	accommodation	n	2.9	C2
W	accommodational	a	0.0	C2
W	accommodative	a	0.0	C2
W	accommodator	n	0.0	C2
W	accompanied	a	4.5	B1
W	accompaniment	n	3.8	B2
W	accompanist	n	2.9	C2
W	accompany	v	3.8	B2
W	accompanying	a	4.2	B1
W	accompanyist	n	0.0	C2
W	accomplice	n	3.2	C1
W	accomplish	v	4.3	B1
W	accomplishable	a	0.0	C2
W	accomplished	a	4.6	B1
W	accomplishment	n	3.8	B2
W	accord	nv	3.9	B2
W	accordance	n	4.2	B1
W	accordant	a	0.0	C2
W	according	ai	5.1	A2
W	accordingly	r	4.4	B1
W	accordion	n	2.9	C2
W	accordionist	n	0.0	C2
W	accost	v	0.0	C2
W	accouchement	n	0.0	C2
W	accoucheur	n	0.0	C2
W	accoucheuse	n	0.0	C2
W	account	nv	5.0	A2
W	accountability	n	3.5	C1
W	accountable	a	2.9	C2
W	accountancy	n	0.0	C2
W	accountant	n	3.2	C1
W	accountantship	n	0.0	C2
W	accounting	n	4.0	B2
W	accouter	v	0.0	C2
W	accoutered	a	0.0	C2
W	accouterment	n	0.0	C2
W	accoutre	v	0.0	C2
W	accoutred	a	0.0	C2
W	accoutrement	n	0.0	C2
W	accra	n	0.0	C2
W	accredit	v	0.0	C2
W	accreditation	n	3.8	B2
W	accredited	a	3.2	C1
W	accrete	v	0.0	C2
W	accretion	n	3.4	C1
W	accretionary	a	0.0	C2
W	accretive	a	0.0	C2
W	accroides	n	0.0	C2
W	accrual	n	0.0	C2
W	accrue	v	0.0	C2
W	accrued	a	3.4	C1
W	accruement	n	0.0	C2
W	acculturate	v	0.0	C2
W	acculturation	n	2.9	C2
W	acculturational	a	0.0	C2
W	acculturative	a	0.0	C2
W	accumbent	a	0.0	C2
W	accumulate	v	3.4	C1
W	accumulated	a	3.9	B2
W	accumulation	n	4.0	B2
W	accumulative	a	0.0	C2
W	accumulator	n	0.0	C2
W	accuracy	n	4.5	B1
W	accurate	a	4.5	B1
W	accurately	r	4.3	B1
W	accurse	v	0.0	C2
W	accursed	a	0.0	C2
W	accurst	a	0.0	C2
W	accusal	n	0.0	C2
W	accusation	n	3.4	C1
W	accusative	an	0.0	C2
W	accusatorial	a	0.0	C2
W	accusatory	a	0.0	C2
W	accuse	v	3.9	B2
W	accused	n	4.3	B1
W	accuser	n	0.0	C2
W	accusing	a	3.8	B2
W	accusingly	r	3.2	C1
W	accusive	a	0.0	C2
W	accustom	v	0.0	C2
W	accustomed	a	4.1	B2
W	ace	anv	4.1	B2
W	acebutolol	n	0.0	C2
W	acedia	n	0.0	C2
W	acellular	a	0.0	C2
W	acentric	a	0.0	C2
W	acephalia	n	0.0	C2
W	acephalism	n	0.0	C2
W	acephalous	a	0.0	C2
W	acephaly	n	0.0	C2
W	acer	n	0.0	C2
W	aceraceae	n	0.0	C2
W	acerate	a	0.0	C2
W	acerb	a	0.0	C2
W	acerbate	v	0.0	C2
W	acerbic	a	0.0	C2
W	acerbity	n	0.0	C2
W	acerola	n	0.0	C2
W	acerose	a	0.0	C2
W	acervate	a	0.0	C2
W	acervulus	n	0.0	C2
W	acetabular	a	0.0	C2
W	acetabulum	n	0.0	C2
W	acetal	n	0.0	C2
W	acetaldehyde	n	0.0	C2
W	acetaldol	n	0.0	C2
W	acetamide	n	0.0	C2
W	acetaminophen	n	0.0	C2
W	acetanilid	n	0.0	C2
W	acetanilide	n	0.0	C2
W	acetate	n	3.8	B2
W	acetic	a	0.0	C2
W	acetify	v	0.0	C2
W	acetin	n	0.0	C2
W	acetone	n	3.5	C1
W	acetonemia	n	3.4	C1
W	acetonic	a	0.0	C2
W	acetonuria	n	0.0	C2
W	acetophenetidin	n	0.0	C2
W	acetose	a	0.0	C2
W	acetous	a	0.0	C2
W	acetphenetidin	n	0.0	C2
W	acetum	n	0.0	C2
W	acetyl	n	0.0	C2
W	acetylate	v	0.0	C2
W	acetylation	n	0.0	C2
W	acetylcholine	n	0.0	C2
W	acetylene	n	0.0	C2
W	acetylenic	a	0.0	C2
W	acetylic	a	0.0	C2
W	acetylise	v	0.0	C2
W	acetylize	v	0.0	C2
W	achaea	n	0.0	C2
W	achaean	an	0.0	C2
W	achaian	n	0.0	C2
W	ache	nv	3.5	C1
W	achene	n	0.0	C2
W	achenial	a	0.0	C2
W	acheron	n	0.0	C2
W	acheronian	a	0.0	C2
W	acherontia	n	0.0	C2
W	acherontic	a	0.0	C2
W	acheson	n	3.2	C1
W	acheta	n	0.0	C2
W	achievability	n	0.0	C2
W	achievable	a	0.0	C2
W	achieve	v	4.6	B1
W	achievement	n	4.7	B1
W	achiever	n	0.0	C2
W	achillea	n	0.0	C2
W	achilles	n	2.9	C2
W	achimenes	n	0.0	C2
W	aching	an	3.7	B2
W	achira	n	0.0	C2
W	achlamydeous	a	0.0	C2
W	achlorhydria	n	0.0	C2
W	achlorhydric	a	0.0	C2
W	achoerodus	n	0.0	C2
W	acholia	n	0.0	C2
W	achomawi	n	0.0	C2
W	achondrite	n	0.0	C2
W	achondritic	a	0.0	C2
W	achondroplasia	n	0.0	C2
W	achondroplastic	a	0.0	C2
W	achondroplasty	n	0.0	C2
W	achras	n	0.0	C2
W	achromasia	n	0.0	C2
W	achromatic	a	0.0	C2
W	achromaticity	n	0.0	C2
W	achromatin	n	0.0	C2
W	achromatinic	a	0.0	C2
W	achromatise	v	0.0	C2
W	achromatism	n	0.0	C2
W	achromatize	v	0.0	C2
W	achromatous	a	0.0	C2
W	achromia	n	0.0	C2
W	achromic	a	0.0	C2
W	achromous	a	0.0	C2
W	achromycin	n	0.0	C2
W	achy	a	0.0	C2
W	achylia	n	0.0	C2
W	acicula	n	0.0	C2
W	acicular	a	0.0	C2
W	aciculate	a	0.0	C2
W	acid	an	4.0	B2
W	acidemia	n	0.0	C2
W	acidic	a	0.0	C2
W	acidification	n	0.0	C2
W	acidify	v	0.0	C2
W	acidimetric	a	0.0	C2
W	acidimetry	n	0.0	C2
W	acidity	n	2.9	C2
W	acidophil	n	0.0	C2
W	acidophile	n	0.0	C2
W	acidophilic	a	0.0	C2
W	acidophilous	a	0.0	C2
W	acidophilus	n	0.0	C2
W	acidosis	n	0.0	C2
W	acidotic	a	0.0	C2
W	acidulate	v	0.0	C2
W	acidulent	a	0.0	C2
W	acidulous	a	2.9	C2
W	acidulousness	n	0.0	C2
W	aciduric	a	0.0	C2
W	acinar	a	0.0	C2
W	acinic	a	0.0	C2
W	acinonyx	n	0.0	C2
W	acinos	n	0.0	C2
W	acinose	a	0.0	C2
W	acinous	a	0.0	C2
W	acinus	n	0.0	C2
W	acipenser	n	0.0	C2
W	acipenseridae	n	0.0	C2
W	ackee	n	0.0	C2
W	acknowledge	v	4.0	B2
W	acknowledgeable	a	0.0	C2
W	acknowledged	a	4.0	B2
W	acknowledgement	n	3.2	C1
W	acknowledgment	n	3.2	C1
W	aclant	n	0.0	C2
W	acme	n	0.0	C2
W	acne	n	0.0	C2
W	acned	a	0.0	C2
W	acneiform	a	0.0	C2
W	acnidosporidia	n	0.0	C2
W	acocanthera	n	0.0	C2
W	acokanthera	n	0.0	C2
W	acold	a	0.0	C2
W	acolyte	n	2.9	C2
W	aconcagua	n	0.0	C2
W	aconite	n	0.0	C2
W	aconitum	n	0.0	C2
W	acoraceae	n	0.0	C2
W	acorea	n	0.0	C2
W	acores	n	0.0	C2
W	acorn	n	0.0	C2
W	acorus	n	0.0	C2
W	acousma	n	0.0	C2
W	acoustic	an	2.9	C2
W	acoustical	a	3.4	C1
W	acoustically	r	2.9	C2
W	acoustician	n	0.0	C2
W	acousticophobia	n	0.0	C2
W	acoustics	n	2.9	C2
W	acquaint	v	3.4	C1
W	acquaintance	n	3.9	B2
W	acquaintanceship	n	0.0	C2
W	acquainted	a	4.0	B2
W	acquiesce	v	3.4	C1
W	acquiescence	n	3.6	B2
W	acquiescent	a	0.0	C2
W	acquirable	a	0.0	C2
W	acquire	v	4.4	B1
W	acquired	a	4.4	B1
W	acquirement	n	0.0	C2
W	acquirer	n	0.0	C2
W	acquiring	n	4.0	B2
W	acquisition	n	4.2	B1
W	acquisitive	a	0.0	C2
W	acquisitiveness	n	2.9	C2
W	acquit	v	0.0	C2
W	acquittal	n	3.2	C1
W	acquittance	n	0.0	C2
W	acquitted	a	3.2	C1
W	acragas	n	0.0	C2
W	acrasiomycetes	n	0.0	C2
W	acre	n	3.9	B2
W	acreage	n	4.0	B2
W	acres	n	4.6	B1
W	acrid	a	2.9	C2
W	acridid	n	0.0	C2
W	acrididae	n	0.0	C2
W	acridity	n	0.0	C2
W	acridness	n	0.0	C2
W	acridotheres	n	0.0	C2
W	acrilan	n	0.0	C2
W	acrimonious	a	0.0	C2
W	acrimony	n	0.0	C2
W	acris	n	0.0	C2
W	acritical	a	0.0	C2
W	acroanaesthesia	n	0.0	C2
W	acroanesthesia	n	0.0	C2
W	acrobat	n	0.0	C2
W	acrobates	n	0.0	C2
W	acrobatic	a	3.2	C1
W	acrobatics	n	2.9	C2
W	acrocarp	n	0.0	C2
W	acrocarpous	a	0.0	C2
W	acrocarpus	n	0.0	C2
W	acrocentric	a	0.0	C2
W	acrocephalus	n	0.0	C2
W	acrocephaly	n	0.0	C2
W	acroclinium	n	0.0	C2
W	acrocomia	n	0.0	C2
W	acrocyanosis	n	0.0	C2
W	acrodont	n	0.0	C2
W	acrogen	n	0.0	C2
W	acrogenic	a	0.0	C2
W	acrogenous	a	0.0	C2
W	acrolein	n	0.0	C2
W	acromegalia	n	0.0	C2
W	acromegalic	a	0.0	C2
W	acromegaly	n	0.0	C2
W	acromicria	n	0.0	C2
W	acromikria	n	0.0	C2
W	acromion	n	0.0	C2
W	acromphalus	n	0.0	C2
W	acromyotonia	n	0.0	C2
W	acronym	n	0.0	C2
W	acronymic	a	0.0	C2
W	acronymous	a	0.0	C2
W	acropetal	a	0.0	C2
W	acrophobia	n	0.0	C2
W	acrophobic	a	0.0	C2
W	acrophony	n	0.0	C2
W	acropolis	n	3.7	B2
W	acropora	n	0.0	C2
W	acroscopic	a	0.0	C2
W	acrosome	n	0.0	C2
W	across	ir	5.4	A2
W	acrostic	n	0.0	C2
W	acrostichum	n	0.0	C2
W	acrylamide	n	0.0	C2
W	acrylate	n	0.0	C2
W	acrylic	n	4.0	B2
W	acrylonitrile	n	0.0	C2
W	act	nv	5.4	A2
W	actable	a	0.0	C2
W	actaea	n	0.0	C2
W	acth	n	2.9	C2
W	actias	n	0.0	C2
W	actifed	n	0.0	C2
W	actin	n	0.0	C2
W	actinal	a	0.0	C2
W	actinaria	n	0.0	C2
W	acting	an	4.7	B1
W	actinia	n	0.0	C2
W	actinian	n	0.0	C2
W	actiniaria	n	0.0	C2
W	actiniarian	n	0.0	C2
W	actinic	a	0.0	C2
W	actinide	n	0.0	C2
W	actinidia	n	0.0	C2
W	actinidiaceae	n	0.0	C2
W	actiniopteris	n	0.0	C2
W	actinism	n	0.0	C2
W	actinium	n	0.0	C2
W	actinoid	an	0.0	C2
W	actinolite	n	0.0	C2
W	actinomeris	n	0.0	C2
W	actinometer	n	2.9	C2
W	actinometric	a	0.0	C2
W	actinometrical	a	0.0	C2
W	actinometry	n	0.0	C2
W	actinomorphic	a	0.0	C2
W	actinomorphous	a	0.0	C2
W	actinomyces	n	0.0	C2
W	actinomycetaceae	n	0.0	C2
W	actinomycetal	a	0.0	C2
W	actinomycetales	n	0.0	C2
W	actinomycete	n	0.0	C2
W	actinomycetous	a	0.0	C2
W	actinomycin	n	0.0	C2
W	actinomycosis	n	0.0	C2
W	actinomycotic	a	0.0	C2
W	actinomyxidia	n	0.0	C2
W	actinomyxidian	n	0.0	C2
W	actinon	n	0.0	C2
W	actinopod	n	0.0	C2
W	actinopoda	n	0.0	C2
W	actinotherapy	n	0.0	C2
W	actinozoa	n	0.0	C2
W	actinozoan	n	0.0	C2
W	action	nv	5.4	A2
W	actionable	a	0.0	C2
W	actitis	n	0.0	C2
W	actium	n	0.0	C2
W	activase	n	0.0	C2
W	activate	v	3.2	C1
W	activated	a	3.6	B2
W	activating	an	2.9	C2
W	activation	n	3.8	B2
W	activator	n	0.0	C2
W	active	an	4.9	A2
W	actively	r	4.0	B2
W	activeness	n	0.0	C2
W	activewear	n	0.0	C2
W	activism	n	3.2	C1
